ZONA,LIBRES,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA,MOVIMIENTO MIRA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE,PARTIDO CAMBIO RADICAL,PARTIDO CENTRO DEMOCRATICO,PARTIDO CONSERVADOR COLOMBIANO,PARTIDO DE LA U,PARTIDO LIBERAL COLOMBIANO,PARTIDO OPCION CIUDADANA,PARTIDO UNION PATRIOTICA,PARTIDO VERDE,POLO DEMOCRATICO ALTERNATIVO,PROGRESISTAS
ANTONIO NARIÑO,1312,177,138,2769,825,7175,3404,2098,4844,6519,793,1029,4012,4947,1136
BARRIOS UNIDOS,2972,369,205,2835,2022,11517,8511,4034,5945,9967,1338,1139,8278,5356,1718
BOSA,4020,1030,709,8607,1082,20914,12542,6062,13389,14737,3521,2064,11333,20572,3121
CANDELARIA,506,216,98,515,380,2748,1352,854,1525,2619,306,611,2278,3769,739
CENTROS PENITENCIARIOS,5,3,16,12,9,108,35,25,37,24,4,7,59,41,2
CHAPINERO,997,247,150,1514,3724,15812,11824,2942,3453,6806,785,1336,11872,4036,1293
CIUDAD BOLIVAR,4322,970,1100,6918,1080,19974,12087,7104,18887,15906,3306,1745,10789,18020,3862
CORFERIAS,2001,300,205,1637,1088,7958,5445,1996,3862,4742,720,730,6642,4888,1563
ENGATIVA,7832,1338,893,15911,5019,48585,23775,14845,20264,29879,4795,3581,28162,23068,6501
FONTIBON,4201,488,406,5539,2429,18965,10810,5490,8622,14452,2113,1508,13883,9894,2751
KENNEDY,9137,1458,1307,14567,4101,38323,26183,15381,28390,32055,4898,4265,25331,28648,8089
MARTIRES,1980,186,184,1558,642,5021,4409,2282,3885,5250,794,618,4752,3799,918
PUENTE ARANDA,5565,540,505,4494,1889,14212,10159,6211,10105,12664,2086,1587,10185,10396,3164
RAFAEL URIBE,2933,505,487,5014,1082,12771,9284,4979,10740,17829,1747,1485,12834,11890,2902
SAN CRISTOBAL,2602,730,528,5603,961,15886,6757,6588,12925,12116,1707,1605,10286,12736,2414
SANTA FE,863,307,289,1111,644,4618,2360,2811,2865,4547,496,759,2997,6377,1084
SUBA,8649,1435,1283,13735,9525,52853,37382,15345,20414,33400,5201,3886,39111,23219,7226
SUMAPAZ,4,2,1,14,5,292,19,29,19,395,5,405,24,252,22
TEUSAQUILLO,1805,378,309,1910,3184,13802,9808,4400,4967,8745,1160,2649,11278,8079,3027
TUNJUELITO,1689,250,336,2878,654,9126,5655,2667,6675,8858,1812,955,7075,7327,1913
USAQUEN,4052,640,482,5390,8155,42383,31033,9212,11480,18314,2488,2174,26174,10062,2509
USME,2866,669,599,3383,468,9246,6638,8981,9619,10506,1385,968,8454,10503,2790
